 ,hi,en
wss1160,esjh vk¡[k lwt xbZ gSA,My eye has swollen up.
wss1162,lkjs iaNh mM+ ugha ldrsA,Not all birds can fly.
wss1164,"njokts dks can dj nhft,A",Please close the door.
wss1166,"eq>s vdsyk NksM+ nhft,A",Please leave me alone.
wss1168,"xsan Qsafd,A",Please throw the ball.
wss1170,tgk¡ Hkh Mkyuk gS MkynksA,Put it where you like.
wss1172,og ges'kk eu yxkdj dke djrh gSA,She always works hard.
wss1174,mlus eq>ls enn ekaxhA,She asked me for help.
wss1176,"og esjs fy, ,d uUgk lk f[kykSuk [kjhn ykbZA",She got me a tiny toy.
wss1178,og vius ifr ls uQjr djrh FkhA,She hated her husband.
wss1180,og ik¡p lky dh gSA,She is five years old.
wss1182,mlus yEch ftUnxh thA,She lived a long life.
wss1184,"og ,d ftíh yM+dh gSA",She's a stubborn girl.
wss1186,dgha Hkh cSB tkvksA,Sit wherever you like.
wss1188,eq>s crkvks D;k gqvkA,Tell me what happened.
wss1190,>hy ;gk¡ ij cgqr xgjh gSA,The lake is deep here.
wss1192,ml vkneh us lkjh mEehn NksM+nhA,The man lost all hope.
wss1194,LVs'ku ikl esa gSA,The station is nearby.
wss1196,"os ,d&nwljs ls uQjr djrs FksA",They hated each other.
wss1198,mUgksaus esjh dk etkd mM+k;kA,They made fun of Mary.
wss1200,mudh Vªsu NwV xbZA,They missed the train.
wss1202,"mUgksaus enn ds fy, fpYyk;kA",They shouted for help.
wss1204,;g Hkh lso gSA,"This is an apple, too."
wss1206,V‚e vkSj eSa nksLr gSaA,Tom and I are friends.
wss1208,geus mlds çLrko dks Lohdkj dj fy;kA,We accepted his offer.
wss1210,ge mudks ijs'kku dj jgsa gSaA,We are disturbing him.
wss1212,geus FkksM+h nsj vkjke fd;kA,We rested for a while.
wss1214,"eq>s pyuk pkfg,A","Well, I must be going."
wss1216,;g D;k cdokl gS\,What is this nonsense?
wss1218,rqe nksuks D;k dj jgs gks\,What're you two doing?
wss1220,fy¶V dgk¡ ij gS\,Where is the elevator?
wss1222,;s D;k fdrkcsa gSa\,Whose books are these?
wss1224,"og dy vk,xk D;k\",Will he come tomorrow?
wss1226,rqe le>s ughaA,You didn't understand.
wss1228,tSlh djuh oSlh HkjuhA,You reap what you sow.
wss1230,rqEgkjs cky dqN t~;knk gh yEcs gSaA,Your hair is too long.
wss1232,"dkSu gS\ ""eSa gw¡""","Who is it? ""It's me."""
wss1234,ykseM+h taxyh tkuoj gksrh gSA,A fox is a wild animal.
wss1236,[kjxks'k ds dku yEcs gksrs gSaA,A rabbit has long ears.
wss1238,D;k dksbZ rqEgkjk ;dhu dj ldrk gS\,Can anyone believe you?
wss1240,rqeus iwjk i<+ fy;k D;k\,Did you read it at all?
wss1242,;g jax ilan gS D;k\,Do you like this color?
wss1244,eq>ls iSls er ek¡xksA,Don't ask me for money.
wss1246,ukjkt er gks tkvksA,Don't lose your temper.
wss1248,mudk etkd er mM+kvksA,Don't make fun of them.
wss1250,"eq>s rqEgsa FkIiM+ djus ds fy, etcwj er djksA",Don't make me slap you.
wss1252,",slh ckr er cksyksA",Don't say such a thing.
wss1254,og dke 'kq# er djksA,Don't start doing that.
wss1256,og xkuk lHkh dks irk FkkA,Everyone knew the song.
wss1258,eNfy;k¡ ikuh esa thrha gSaA,Fish live in the water.
wss1260,og t~;knk rst ugha Hkkx ldrkA,He can't run very fast.
wss1262,og vPNk dek ysrk gSA,He earns a good salary.
wss1264,mldh rhu csfV;k¡ gSaA,He has three daughters.
wss1266,mlus njokts ij [kV[kVk;kA,He knocked at the door.
wss1268,mlus rSjuk lh[kkA,He learned how to swim.
wss1270,mlus esjk cLrk pqjk fy;kA,He robbed me of my bag.
wss1272,mlus eq>s crk;k dgk¡ tkuk gSA,He told me where to go.
wss1274,mlus fdrkc dks QkM+ MkykA,He tore the book apart.
wss1276,og HkkSfrd foKku le>rk gSA,He understands physics.
wss1278,og cl vHkh vkrk gksxkA,He will soon come back.
wss1280,mlds firk tkikuh gSaA,Her father is Japanese.
wss1282,eSaus mlls og djus dks dgk FkkA,I asked him to do that.
wss1284,eSa rqels lger ugha gw¡A,I don't agree with you.
wss1286,eSa Hkxoku esa ;dhu ugha djrkA,I don't believe in God.
wss1288,"eq>s rqEgkjh n;k ugha pfg,A",I don't want your pity.
wss1290,eq>s fiatjk [kkyh feykA,I found the cage empty.
wss1292,eSa Ldwy py dj tkrh gw¡A,I go to school on foot.
wss1294,eSaus ml vkSjr dks xLlk fnyk;kA,I made the woman angry.
wss1296,eq>s pk; ls t~;knk d‚Qh ilan gSA,I prefer coffee to tea.
wss1298,eq>s cq[kkj tSlk yxrk gSA,I seem to have a fever.
wss1300,eq>s vHkh Hkh ugha irkA,I still don't know yet.
wss1302,eSa lkr cts lksdj mBrk gw¡A,I wake up at 7 o'clock.
wss1304,eSa vius&vki djuk pkgrk gw¡A,I want to do it myself.
wss1306,eq>s ukSdjh ls fudkyk ugha x;kA eSaus [kqn gh ukSdjh NksM+ nhA,I wasn't fired. I quit.
wss1308,eSa ukS cts ls igys okil vk tkÅ¡xkA,I will be back by nine.
wss1310,irk ugha D;k gqvkA,I wonder what happened.
wss1312,"eq>s ,d CyMh esjh pkfg,A",I'd like a Bloody Mary.
wss1314,eSa Qksu djrk gw¡A,I'll make a phone call.
wss1316,eSa vHkh gokbZvìs esa gw¡A,I'm at the airport now.
wss1318,"eSa mlls feyus ds fy, mRlqd gw¡A",I'm longing to see him.
wss1320,eSa rqEgkjs ckjs esa lksp jgk gw¡A,I'm thinking about you.
wss1322,D;k vkt dksbZ vuqifLFkr gS\,Is anyone absent today?
wss1324,"og esjs fy, eqf'dy gSA",It is difficult for me.
wss1326,vkt ekSle dkQh BaMk gSA,It's rather cold today.
wss1328,vius dke ls dke j[kks!,Mind your own business!
wss1330,esjs firk cgqr vPNs gSaA,My father is very nice.
wss1332,esjk isV xqM+xqM+k jgk gSA,My stomach is growling.
wss1334,U;w ;‚dZ cM+k 'kgj gSA,New York is a big city.
wss1336,Ldwy vçSy esa 'kq: gksrk gSA,School begins in April.
wss1338,Ldwy lk<+s rhu cts NwVrk gSA,School is over at 3:30.
wss1340,eSa dejs dh lQkbZ d:¡ D;k\,Shall I clean the room?
wss1342,og ges'kk dkys diM+s igurh gSA,She always wears black.
wss1344,og fi;kuks ctkuk tkurh gSA,She can play the piano.
wss1346,og ueZ fny okyh gSA,She has a gentle heart.
wss1348,og cgqr iSlsokyh vkSjr gSA,She is a wealthy woman.
wss1350,og xjhc gS] ij [kq'k gSA,"She is poor, but happy."
wss1352,mlus iSlsokys ls 'kknh dhA,She married a rich man.
wss1354,og cgqr cd&cd djrh gSA,She prattles on and on.
wss1356,mlus eq>s viuk dejk fn[kk;kA,She showed me her room.
wss1358,D;k eSa dejk lkQ dj ldrh gw¡\,Should I clean my room?
wss1360,;g yxHkx lgh gSA,That is almost correct.
wss1362,og rsy esa idk;k x;k gSA,That was cooked in oil.
wss1364,";g ,d cgqr vPNk loky gSA",That's a good question.
wss1366,;s vthc gS] ugha\,"That's weird, isn't it?"
wss1368,cPps us jksuk lekIr dj fn;kA,The baby ceased crying.
wss1370,xsV dks [kqyk NksM+ fn;k x;k FkkA,The gate was left open.
wss1372,ml yM+dh us ihNs eqM+dj ns[kkA,The girl looked around.
wss1374,;g pkdw rst ugha gSA,The knife is not sharp.
wss1376,;g cÙkh dke ugha djrhA,The light doesn't work.
wss1378,ftruk tYnh mruk vPNkA,"The sooner, the better."
wss1380,os cgqr çlUu gksaxsA,They will be very glad.
wss1382,;g fdrkc cgqr iryh gSA,This book is very thin.
wss1384,;g 'ksj cgqr ikyrw gSA,This lion is very tame.
wss1386,;g js'ke Nwus esa cgqr ueZ yxrk gSA,This silk feels smooth.
wss1388,V‚e us batu dks pkyw dj fn;kA,Tom started the engine.
wss1390,ge vDlj xyfr;k¡ dj cSBrs gSaA,We often make mistakes.
wss1392,"rqEgsa ;g djus ds fy, crk;k x;k Fkk\",Were you told to do so?
wss1394,rEgs D;k djuk vPNk yxrk gS\,What do you like to do?
wss1396,fdrus cts [kqyrk gS\,What time does it open?
wss1398,rkieku D;k gS\,What's the temperature?
wss1400,rqEgkjs [k़;ky ls og dkSu gS\,Who do you think he is?
wss1402,gdyk D;ksa jgs gks\,Why are you stuttering?
wss1404,"ge le; esa igq¡p tk,¡xs D;k\",Will we arrive in time?
wss1406,rqEgkjs ikl dkQh le; FkkA,You had plenty of time.
wss1408,rqEgkjh ;knnk'r vPNh gSA,You have a good memory.
wss1410,rqEgs V‚e dks jksduk gh gksxkA,You've got to stop Tom.
wss1412,dqjfl;k¡ dkQh gSa D;k\,Are there enough chairs?
wss1414,rqe eaxyokj dks [kkyh gks D;k\,Are you free on Tuesday?
wss1416,eSa vkidk ikliksVZ ns[k ldrk gw¡ D;k\,Can I see your passport?
wss1418,rqe vaxzsth ugha cksy ldrs gks D;k\,Can't you speak English?
wss1420,vki Vhoh ns[krsa gSa D;k\,Do you watch television?
wss1422,nw/k tYnh ls [kjkc gks tkrk gS D;k\,Does milk spoil quickly?
wss1424," 'kjkc dh ,d cwan Hkh er fi;ksA",Don't drink any alcohol.
wss1426,fVdV Hkwyuk erA,Don't forget the ticket.
wss1428,Xykl jsr ls cuk;k tkrk gSA,Glass is made from sand.
wss1430,mlus vius ifjokj dks NksM+ fn;kA,He abandoned his family.
wss1432,mlus vius ns'k dks /kks[kk ns fn;kA,He betrayed his country.
wss1434,mls tqdke cgqr vklkuh ls gks tkrk gSA,He catches colds easily.
wss1436,mldks ukSdjh ugha fey ik;hA,He couldn't get the job.
wss1438,mlus fons'k tkus dk fu.kZ; fy;kA,He decided to go abroad.
wss1440,og tYnh ugha mBkA,He did not get up early.
wss1442,og ikdZ esa [kks x;kA,He got lost in the park.
wss1444,og lwi dks lw¡?k jgk gSA,He is smelling the soup.
wss1446,mldks esgur djus dh vknr gSA,He is used to hard work.
wss1448,mldks QqVc‚y [ksyuk vPNk yxrk gSA,He likes playing soccer.
wss1450,mlus vkleku dh rjQ ns[kkA,He looked up at the sky.
wss1452,mldks ?ke.Mh gksus dh vknr gSA,He tends to be arrogant.
wss1454,mlij pksjh dk bytke yxk;k x;kA,He was accused of theft.
wss1456,"og ,d jktk ls cgqr t~;knk FkkA",He was more than a king.
wss1458,mldh dgkuh lPph ugha gks ldrhA,Her story can't be true.
wss1460,esjs ikl t~;knk le; ugha gSA,I do not have much time.
wss1462,esjs ikl t~;knk iSls ugha gSaA,I don't have much money.
wss1464,eq>s mYVh vk jgh gSA,I feel like throwing up.
wss1466,eq>s mlls I;kj gks x;kA,I fell in love with her.
wss1468,eq>s fxykl [kkyh feykA,I found the glass empty.
wss1470,vc esjs ikl cgqr FkksM+s iSls gSaA,I have little money now.
wss1472,esjs ikl vHkh dksbZ iSls ugha gSaA,I have no money with me.
wss1474,eq>s nar fpfdRld ls feyuk gSA,I have to see a dentist.
wss1476,eq>s viuk dke cgqr ilan gSA,I like my job very much.
wss1478,eq>s vaxzsth i<+uk vPNk yxrk gSA,I like studying English.
wss1480,eq>s 'kgj dh ftUnxh ilan gSA,I really like city life.
wss1482,dk'k eSa rqEgkjh enn dj ldrkA,I wish I could help you.
wss1484,gks lds rks eSa mlls feyuk ugha pkgw¡xkA,I'd rather not meet him.
wss1486,"eSa rqEgsa ,d rksgQk nw¡xkA",I'll give you a present.
wss1488,eSaus ch;j ihuk NksM+ fn;k gSA,I've quit drinking beer.
wss1490,rqe ;gh pkgrs Fks uk\,Is this what you wanted?
wss1492,ckjg ctus okys gSaA,It is almost 12 o'clock.
wss1494,N% ctus okys gSaA,It's almost six o'clock.
wss1496,blls esjs dksbZ ysuk&nsuk ugha gSA,It's no concern of mine.
wss1498,esjh cgu dh Vkaxsa cgqr yEcha gSaA,My sister has long legs.
wss1500,"eSa vkids fy, dqjlh ysvkÅ¡\",Shall I get you a chair?
wss1502,"mlus ,d ntZu vaMs [kjhnsA",She bought a dozen eggs.
wss1504,og eq>ls ckr ugha djrhA,She doesn't speak to me.
wss1506,"mlus lQsn diM+s igus gq,¡ gSaA",She is dressed in white.
wss1508,"og ,d ckj fQj nsj ls vkbZA",She was late once again.
wss1510,"eq>s ,d vkSj mnkgj.k nksA",Show me another example.
wss1512,"esjs fy, rSjuk vklku gSA",Swimming is easy for me.
wss1514,dksbZlk Hkh ys yksA,Take whichever you want.
wss1516,;g mlij Hkh ykxq gksrk gSA,That applies to him too.
wss1518,bl vkneh ds ikl cgqr lkjs dtZ gSaA,That man has many debts.
wss1520,MCck ydM+h dk cuk gSA,The box is made of wood.
wss1522,cl vHkh rd vkbZ ugha gSA,The bus hasn't come yet.
wss1524,?kj vkx esa fyiVk gqvk FkkA,The house was in flames.
wss1526,mUgksaus vukFk cPps dks xksn ys fy;kA,They adopted the orphan.
wss1528,"os vkeus&lkeus [kM+s gq,A",They stood face to face.
wss1530,os rqels Mjrs FksA,They were afraid of you.
wss1532,;g dqjlh cgqr NksVh gSA,This chair is too small.
wss1534,"eSa blhfy, okil vk;k FkkA",This is why I came back.
wss1536,;g unh cgqr lqUnj gSA,This river is beautiful.
wss1538,dy esjk tUefnu gSA,Tomorrow is my birthday.
wss1540,viuk ew¡g bl vksj eksM+ksA,Turn your face this way.
wss1542,nks vkSj nks pkj gksrs gSaA,Two plus two makes four.
wss1544,ikuh cgqr t:jh gSA,Water is very important.
wss1546,"ge lc ,d&lkFk [kM+s gks x,A",We all stood up at once.
wss1548,geus xksy est [kjhnhA,We bought a round table.
wss1550,gekjh vkt Ldwy ls Nqêh gSA,We have no school today.
wss1552,ge dy 'kk;n ugha thrsaxsA,We may not win tomorrow.
wss1554,ge pk; esa phuh Mkyrs gSaA,We put sugar in our tea.
wss1556,"rqEgs fdlfy, pkfg,\",What do you want it for?
wss1558,"mldh jk""Vªh;rk D;k gS\",What is his nationality?
wss1560,rqe Vsful dc [ksyuk pkgrs gks\,When do you play tennis?
wss1562,tc ckfj'k gksrh gS] rks tcjnLr gksrh gSA,"When it rains, it pours."
wss1564,rqe dHkh Hkh enn D;ksa ugha djrs\,Why don't you ever help?
wss1566,Vhoh pkyw djnksxs D;k\,Will you turn on the TV?
wss1568,"rqEgsa ;gk¡ barstkj ugha djuk pkfg,A",You shouldn't wait here.
wss1570,cqjh [kcj rsth ls QSyrh gSA,Bad news travels quickly.
wss1572,D;k rqe bls jkt j[k ldrs gks\,Can you keep it a secret?
wss1574,pht nw/k ls curk gSA,Cheese is made from milk.
wss1576,"bu nksuksa esa ls fdlh ,d dks pquksA",Choose between these two.
wss1578,mlus rqEgsa dqN crk;k D;k\,Did he tell you anything?
wss1580,rqeus viuk gkseodZ dj fy;k D;k\,Did you do your homework?
wss1582,rqEgkjs ikl dye gS D;k\,Do you have a pen on you?
wss1584,rqEgkjs dksbZ HkkbZ gSa D;k\,Do you have any brothers?
wss1586,"vkidks ,seC;wysal dh t:jr gS D;k\",Do you need an ambulance?
wss1588,ml pkch ds lkFkrkuh er djks!,Don't play with that key!
wss1590,ckgj ugha tkuk pkgrs gks D;k\,Don't you want to go out?
wss1592,gj ?kj esa cxhpk FkkA,Every house had a garden.
wss1594,og de&ls&de rhl lky dk rks gksxkA,He can't be under thirty.
wss1596,mlus fyQkQs dks dkVdj [kksy fn;kA,He cut the envelope open.
wss1598,og dSalj ls ugha ejkA,He did not die of cancer.
wss1600,og laxhr dk cgqr 'kkSdhu gSA,He is very fond of music.
wss1602,og cgqr lkjs yksxksa dks tkurk gSA,He knows a lot of people.
wss1604,mlus viuh canwd dk fu'kkuk eq>ij yxk;kA,He leveled his gun at me.
wss1606,mlij dRy dk bytke yxk;k x;kA,He was accused of murder.
wss1608,og nl lky dk yM+dk FkkA,He was then a boy of ten.
wss1610,og esjh ckr ugha lqusxkA,He will not listen to me.
wss1612,"og dHkh Hkh larq""V ugha gksrkA",He's always dissatisfied.
wss1614,"og vHkh ,d miU;kl i<+ jgk gSA",He's reading a novel now.
wss1616,;gka] cSfB;sA,"Here, please have a seat."
wss1618,rqe fdruh nsj ls çrh{kk dj jgs gks\,How long have you waited?
wss1620,vk/kk fdyks fdrus dk gS\,How much for half a kilo?
wss1622,eSa xkM+h pyk ldrk gw¡A,I am able to drive a car.
wss1624,"ekQ fdft,] ij eSa vkils lger ugha gw¡A",I beg to differ with you.
wss1626,eSa rqEgkjs fcuk th ugha ldrkA,I can't live without you.
wss1628,eq>ls vkSj lgu ugha gksxk!,I can't stand it anymore.
wss1630,eSa vkSj ugha py ldrhA,I can't walk any further.
wss1632,eq>s ;g tSdsV ilan ugha gSA,I don't like this jacket.
wss1634,esjk Hkkx tkus dk eu gqvkA,I felt like running away.
wss1636,eSa esVªks ysdj Ldwy tkrh gw¡A,I go to school by subway.
wss1638,eSa taxy esa [kks x;kA,I got lost in the forest.
wss1640,eSaus nks di d‚Qh ihA,I had two cups of coffee.
wss1642,eq>s fny dh chekjh gSA,I have a heart condition.
wss1644,eq>s cSad tkuk gSA,I have to go to the bank.
wss1646,eq>s fdlh ds [kV[kVkus dh vkokt lqukbZ nhA,I heard someone knocking.
wss1648,eq>s vaxzsth vkSj laxhr ilan gSaA,I like English and music.
wss1650,eq>s fi;kuks ctkuk ilan gSA,I like playing the piano.
wss1652,"eq>s [kk¡lh dh nokbZ pkfg,A",I need coughing medicine.
wss1654,"esjh ,d iqjkus nksLr ls eqykdkr gqbZA",I ran into an old friend.
wss1656,eq>s yxrk gS og lgh gSA,I think that he is right.
wss1658,eSa VSDlh dk barstkj dj jgk FkkA,I was waiting for a taxi.
wss1660,eSa mldks ;g ckr le>km¡xkA,I will explain it to her.
wss1662,eSa mldks ;g ckr le>km¡xkA,I will explain it to him.
wss1664,eq>s mudh enn djuh iM+sxhA,I will have to help them.
wss1666,eSa fQjls ugha d:¡xkA,I will never do it again.
wss1668,"eq>s vius iSls okil pkfg,A",I'd like to get a refund.
wss1670,eSa rqEgsa FkksM+h nsj esa Qksu d:¡xkA,I'll call you back later.
wss1672,eSa ugkus tk jgk gw¡A,I'm going to take a bath.
wss1674,"eSaus igyk i`""B i<+k fy;k I",I've read the first page.
wss1676,yksgk lksus ls l[r gksrk gSA,Iron is harder than gold.
wss1678,D;k vkids firkth v/;kid gSa\,Is your father a teacher?
wss1680,nl ctus okys gSaA,It is almost ten o'clock.
wss1682,";g rqEgkjh lsgr ds fy, vPNk ugha gSA",It's not healthy for you.
wss1684,;g esjh iRuh gSA,Let me introduce my wife.
wss1686,eq>s viuk irk crknsukA,Let me know your address.
wss1688,esjs firkth dSalj ls py clsA,My father died of cancer.
wss1690,"—i;k ik¡p feuV Bgfj,A",Please wait five minutes.
wss1692,"og ,d ftíh yM+dh gSA",She is an obstinate girl.
wss1694,"mlus cPps dks jksrs gq, NksM+ fn;kA",She left the baby crying.
wss1696,mlus eq>s /;ku esa ysus ls budkj djfnvkA,She refused to notice me.
wss1698,nl lky cgqr yEck le; gksrk gSA,Ten years is a long time.
wss1700,M‚DVj us esjh uCt yhA,The doctor felt my pulse.
wss1702,[kkuk BaMk gks jgk gSA,The food is getting cold.
wss1704,[kkuk vHkh rd rS;kj ugha gqvk gSA,The food's not ready yet.
wss1706,ml vkneh us dRy fd;kA,The man committed murder.
wss1708,ikVhZ dke;kc jghA,The party was successful.
wss1710,;s fdrkcsa dkQh iqjkuh gSaA,These are very old books.
wss1712,os lc fte[kkus esa feysA,They gathered in the gym.
wss1714,bl dher esa VSDl 'kkfey gSA,This amount includes tax.
wss1716,bl ?kj esa N% dejs gSaA,This house has six rooms.
wss1718,;g mlds ftruk cM+k gSA,This is as large as that.
wss1720,;g jkLrk cgqr iryk gSA,This road is very narrow.
wss1722,VksD;ks cgqr cM+k 'kgj gSA,Tokyo is a very big city.
wss1724,V‚e dks vPNs ls rSjuk vkrk gSA,Tom is able to swim well.
wss1726,"gekjs ikl ihus ds fy, ikuh ugha FkkA",We had no water to drink.
wss1728,ge Hkkjr ls pk; dk vk;kr djrs gSaA,We import tea from India.
wss1730,"ge gok ds fcuk ej tk,¡xsA",We would die without air.
wss1732,D;k <w¡< jgs gks\,What are you looking for?
wss1734,dy jkr D;k gqvk\,What happened last night?
wss1736,mldks cgknqjh dh t:jr gSA,What he lacks is courage.
wss1738,rqe dkSuls Ldwy esa i<+rs gks\,What school do you go to?
wss1740,rqe fdl le; ?kj tkrh gks\,What time do you go home?
wss1742,rqe okil dc vkvksxs\,When are you coming back?
wss1744,rqEgkjh 'kknh dc gqbZ Fkh\,When did you get married?
wss1746,"vki ogk¡ tk,¡xs D;k\",Will you please go there?
wss1748,gk¡] eq>s ;g cgqr ilan gSA,"Yes, I like it very much."
wss1750,vkidks ykbZu esa yxdj barstkj djuk iM+sxkA,You have to wait in line.
wss1752,rqeus eq>s ikxy dj fn;kA,You made me lose my mind.
wss1754,ge tc rd viuk LokLF; ugha [kks nsrs gSa rc rd mldh vlyh dher ugha igpkurs gSaA,It is not till we lose our health that we realize its true value.
wss1756,vkt lso lLrs fcd jgs FksA,Apples were on sale today.
wss1758,"eSa rks larq""V gw¡A","As for me, I am satisfied."
wss1760,rqe ikVhZ esa vk ldrs gks D;k\,Can you come to the party?
wss1762,"dukMk ,d cM+k ns'k gS A",Canada is a large country.
wss1764,esjs ?kj vkB cts vkukA,Come to my house at eight.
wss1766,iqyhl us V‚e dks fxj¶rkj fd;k D;k\,Did the police arrest Tom?
wss1768,rqe ifj;ksa esa fo'okl djrs gks D;k\,Do you believe in fairies?
wss1770,vkids ikl blls cM+s uki dk gS D;k\,Do you have a larger size?
wss1772,rqe lkFk vkuk pkgrs gks D;k\,Do you want to come along?
wss1774,njokts dks [kqyk er NksM+ksA,Don't leave the door open.
wss1776,"rqe ;gk¡ igys vk, gq, gks D;k\",Have you been here before?
wss1778,mlus vaxzsth lh[kuk 'kq: fd;kA,He began to learn English.
wss1780,og vejhdk ls okil vk x;kA,He came back from America.
wss1782,og t~;knk rst ugha Hkkx ldrk FkkA,He couldn't run very fast.
wss1784,og rqEgsa le>rk ugha gSA,He doesn't understand you.
wss1786,mlus f[kM+dh ij tksj yxkdj [kV[kVk;kA,He hammered at the window.
wss1788,mlds ikl cgqr lkjh bfrgkl dh fdrkcsa gSaA,He has many history books.
wss1790,mlus FkksM+h nsj fgpfdpk;kA,He hesitated for a moment.
wss1792,"og esjs iM+ksfl;ksa esa ls ,d gSA",He is one of my neighbors.
wss1794,mls viuk Ldwy cgqr ilan gSA,He likes his school a lot.
wss1796,og lcdk etkd mM+krk gSA,He makes fun of everybody.
wss1798,og vDlj fxVkj ctkrk gSA,He often plays the guitar.
wss1800,mlus eq>s fy[kuk fl[kk;kA,He taught me how to write.
wss1802,geus unh ds fdukjs lSj djhA,He walked along the river.
wss1804,og fdrkc dks [kjhnuk pkºrk FkkA,He wanted to buy the book.
wss1806,og ogk¡ tkus ls Mjrk FkkA,He was afraid to go there.
wss1808,og cq[kkj ls ty jgk FkkA,He was burning with fever.
wss1810,og vkleku dh vksj ns[k jgk FkkA,He was looking at the sky.
wss1812,mls ekSr dh ltk ns nh xbZA,He was sentenced to death.
wss1814,mlus nq?kZVuk dks viuh vk¡[kksa ls ns[kk FkkA,He witnessed the accident.
wss1816,og cPps dh rjg lks jgk gSA,He's sleeping like a baby.
wss1818,gks ldrk gS fd mldh dgkuh lp u gksA,His story may not be true.
wss1820,eSa bl dksVs rd Hkyk dSls igqap ldrk gw¡\,How can I meet this quota?
wss1822,gekjs ikl fdruh dVksfj;k¡ gSa\,How many bowls do we have?
wss1824,vkids ikl fdruh xkfM+;k¡ gSa\,How many cars do you have?
wss1826,Hkw[k us mls pksjh djus ij etcwj fd;kA,Hunger drove him to steal.
wss1828,eSa vaxzsth i<+ ldrk gw¡A,I am able to read English.
wss1830,"eSaus dy ,d fdrkc [kjhnh FkhA",I bought a book yesterday.
wss1832,eSa bl ckj ugha vk ldrkA,I can't make it this time.
wss1834,eSa vkSj ugha py ldrhA,I cannot walk any farther.
wss1836,eq>s mldh >yd fn[kkbZ nhA,I caught a glimpse of her.
wss1838,eq>s FkksM+k vkjke djus dk eu gSA,I feel like taking a rest.
wss1840,eSaus xkM+h dks dy Bhd fd;k FkkA,I fixed the car yesterday.
wss1842,eq>s irk yxk fd og dgk¡ FkhA,I found out where she was.
wss1844,eSa jkst N% cts mBrk gw¡A,I get up at six every day.
wss1846,esjs ikl Qslcqd [kkrk gSA,I have a Facebook account.
wss1848,"esjs ikl rqels feyus ds fy, le; ugha gSA",I have no time to see you.
wss1850,eSaus V‚e dks gky esa ugha ns[kk gSA,I haven't seen Tom lately.
wss1852,eSaus mls gky esa ugha ns[kk gSA,I haven't seen him lately.
wss1854,eq>s xkM+h pykuk vkrk gSA,I know how to drive a car.
wss1856,eSa mlls ukbZ ds ;gk¡ feykA,I met him at the barber's.
wss1858,"eSaus mls nl M‚yj ds fy, csp fn;kA",I sold it for ten dollars.
wss1860,eSa vkerkSj ij vkB cts mBk djrk gw¡A,I usually get up at eight.
wss1862,eSa eSustj ls feyuk pkºrk gw¡A,I want to see the manager.
wss1864,eSa rqEgkjs lkFk lQj djuk pkgrk gw¡A,I want to travel with you.
wss1866,eq>s mlds ejus dk Mj FkkA,I was afraid he might die.
wss1868,dk'k ;s leL;k eq>s gqbZ gksrhA,I wish I had this problem.
wss1870,eSa ogk¡ 'kke ds ik¡p cts igq¡p tkÅ¡xkA,I'll be there at five p.m.
wss1872,"eSa ,d vkSj rkSfy;k ykrh gw¡A",I'll bring one more towel.
wss1874,eSa vius gkseodZ esa yxk gqvk gw¡A,I'm busy with my homework.
wss1876,eSa rqels fujk'k gw¡A,I'm disappointed with you.
wss1878,eSa rqEgsa fQjls ns[kdj cgqr [kq'k gw¡A,I'm glad to see you again.
wss1880,eq>s bfrgkl esa fnypLih gSA,I'm interested in history.
wss1882,eSa Nk;k esa [kM+k gw¡A,I'm standing in the shade.
wss1884,eSa viuh ek¡ dk barstkj dj jgk gw¡A,I'm waiting for my mother.
wss1886,;g leL;k cgqr dfBu gSA,It is a difficult problem.
wss1888,ik¡p ls nl dks tksM+uk cgqr vklku gSA,It is easy to add 5 to 10.
wss1890,ukS ct pqdsa gSaA,It's already nine o'clock.
wss1892,";g esjs nksLr ds fy, gSA",It's for a friend of mine.
wss1894,bl nksigj dks feyrs gSaA,Let's meet this afternoon.
wss1896,D;k eSa pan loky iwN ldrh gw¡\,May I ask a few questions?
wss1898,"eEeh us esjs fy, og fdrkc [kjhnhA",Mother bought me the book.
wss1900,esjk HkkbZ VksD;ks esa jgrk gSA,My brother lives in Tokyo.
wss1902,esjs firk 'kk;n lks jgs gksaxsA,My father may be sleeping.
wss1904,esjs firk us flxjsV ihuk can dj fn;kA,My father stopped smoking.
wss1906,esjk nkfguk iSj lks x;k gSA,My right foot is sleeping.
wss1908,esjh choh dks fcfYy;ksa ls uQjr gSA,My wife really hates cats.
wss1910,"nwljksa dh cqjkbZ dHkh ugha djuh pkfg,A",Never speak ill of others.
wss1912,"esjh ,d vVSph xk;c gSA",One of my bags is missing.
wss1914,Ldwy lk<+s&vkB cts 'kq: gksrk gSA,School begins at 8:30 a.m.
wss1916,mlus lc dqN vius&vki fd;kA,She did it all by herself.
wss1918,og vHkh rd ;gk¡ ugha vkbZ gSA,She has not come here yet.
wss1920,mlus rLohj dks ns[kkA,She looked at the picture.
wss1922,mlus eq>s viuh ubZ xkM+h fn[kkbZA,She showed me her new car.
wss1924,Le‚x ls isM+&ikS/kksa dh ekSr gksrh gSA,Smog causes plants to die.
wss1926,dqN lkai tgjhys gksrs gSaA,Some snakes are poisonous.
wss1928,"rksgQs ds fy, /kU;oknA",Thank you for the present.
wss1930,"nq'eu ikl ugha vk ik,xkA",The enemy won't get close.
